"multa","rating","place","date","monetaryAmount","descuento","denunciante","causa","coordenadas","city"
"http://multas-circulacion.es/ayuntamientomadrid/resource/Multa/4370800","MUYGRAVE","AV AGUILAS 24","2023-09-01T05:50Z","1000","SI","POLICIA MUNICIPAL","CONDUCIR CON UNA TASA DE ALCOHOL NO PERMITIDA SUPERIOR A 0.50 MG/L EN AIRE ESPIRADO (0.30 MG/L NOVELES/PROF.)","(,)","Madrid"
"http://multas-circulacion.es/ayuntamientomadrid/resource/Multa/4980305","MUYGRAVE","GUATEMALA, 24","2023-09-01T19:01Z","500","SI","AGENTES DE MOVILIDAD","CIRCULAR EN SENTIDO CONTRARIO AL ESTABLECIDO.","(4431.40,44792.00)","Madrid"
"http://multas-circulacion.es/ayuntamientomadrid/resource/Multa/7147312","MUYGRAVE","PRINCESA, 31","2023-09-01T09:21Z","500","SI","AGENTES DE MOVILIDAD","CIRCULAR POR VÍA URBANASIN AUTORIZACIÓN, CON VEHÍCULO CUYO PESO, CARGA O DIMENSIONES EXCEDEN DE LAS AUTORIZADAS.","(4393.86,44757.74)","Madrid"
"http://multas-circulacion.es/ayuntamientomadrid/resource/Multa/3186966","MUYGRAVE","PZ ESPAÑA, 7","2023-09-01T13:41Z","500","SI","AGENTES DE MOVILIDAD","CIRCULAR EN SENTIDO CONTRARIO AL ESTABLECIDO.","(4394.13,44750.24)","Madrid"
"http://multas-circulacion.es/ayuntamientomadrid/resource/Multa/8331500","MUYGRAVE","BENEFICENCIA-FUENCARRAL","2023-09-01T14:15Z","500","SI","AGENTES DE MOVILIDAD","CIRCULAR EN SENTIDO CONTRARIO AL ESTABLECIDO.","(4404.88,44756.26)","Madrid"
"http://multas-circulacion.es/ayuntamientomadrid/resource/Multa/237972","MUYGRAVE","VICTORIA, 7","2023-09-01T11:54Z","500","SI","AGENTES DE MOVILIDAD","CIRCULAR EN SENTIDO CONTRARIO AL ESTABLECIDO.","(4404.68,44744.27)","Madrid"
"http://multas-circulacion.es/ayuntamientomadrid/resource/Multa/95912","MUYGRAVE","AV AMERICA, 6","2023-09-01T10:05Z","500","SI","AGENTES DE MOVILIDAD","CIRCULAR EN SENTIDO CONTRARIO AL ESTABLECIDO.","(4426.22,44768.18)","Madrid"
"http://multas-circulacion.es/ayuntamientomadrid/resource/Multa/3383667","MUYGRAVE","PO CASTELLANA, 129","2023-09-01T16:42Z","500","SI","AGENTES DE MOVILIDAD","CIRCULAR EN SENTIDO CONTRARIO AL ESTABLECIDO.","(4414.14,44784.79)","Madrid"
"http://multas-circulacion.es/ayuntamientomadrid/resource/Multa/844865","MUYGRAVE","PANTOJA, 14","2023-09-01T09:33Z","500","SI","AGENTES DE MOVILIDAD","ARRANCAR O CIRCULAR CON MOTOCICLETA O CICLOMOTOR APOYANDO UNA SOLA RUEDA EN LA CALZADA.","(4428.95,44780.48)","Madrid"
"http://multas-circulacion.es/ayuntamientomadrid/resource/Multa/4750379","MUYGRAVE","PADRE CLARET, 20","2023-09-01T14:11Z","500","SI","AGENTES DE MOVILIDAD","CIRCULAR EN SENTIDO CONTRARIO AL ESTABLECIDO.","(,)","Madrid"
"http://multas-circulacion.es/ayuntamientomadrid/resource/Multa/6551653","MUYGRAVE","GRAN VIA, 15","2023-09-01T10:31Z","1000","SI","AGENTES DE MOVILIDAD","CONDUCIR CON UNA TASA DE ALCOHOL NO PERMITIDA SUPERIOR A 0.50 MG/L EN AIRE ESPIRADO (0.30 MG/L NOVELES/PROF.)","(4409.72,44747.34)","Madrid"
"http://multas-circulacion.es/ayuntamientomadrid/resource/Multa/4090510","MUYGRAVE","VICTORIA, 7","2023-09-01T11:49Z","500","SI","AGENTES DE MOVILIDAD","CIRCULAR EN SENTIDO CONTRARIO AL ESTABLECIDO.","(4404.67,44744.26)","Madrid"
"http://multas-circulacion.es/ayuntamientomadrid/resource/Multa/1165380","MUYGRAVE","JACINTO BENAVEN-CARRETAS","2023-09-01T09:57Z","500","SI","AGENTES DE MOVILIDAD","CIRCULAR EN SENTIDO CONTRARIO AL ESTABLECIDO.","(4404.33,44742.47)","Madrid"
"http://multas-circulacion.es/ayuntamientomadrid/resource/Multa/4758454","MUYGRAVE","FUENCARRAL, 114","2023-09-01T15:06Z","500","SI","AGENTES DE MOVILIDAD","CONDUCCION TEMERARIA:","(4372.88,44741.12)","Madrid"
"http://multas-circulacion.es/ayuntamientomadrid/resource/Multa/3236457","MUYGRAVE","FUENCARRAL-BARCELO","2023-09-01T15:04Z","500","SI","AGENTES DE MOVILIDAD","CIRCULAR EN SENTIDO CONTRARIO AL ESTABLECIDO.","(4384.01,44745.54)","Madrid"
"http://multas-circulacion.es/ayuntamientomadrid/resource/Multa/1064533","MUYGRAVE","SAN BERNARDO-NOVICIADO","2023-09-01T12:15Z","500","SI","AGENTES DE MOVILIDAD","CIRCULAR EN SENTIDO CONTRARIO AL ESTABLECIDO.","(4399.82,44751.84)","Madrid"
"http://multas-circulacion.es/ayuntamientomadrid/resource/Multa/7475011","MUYGRAVE","AV PIO XII 44","2023-09-01T13:15Z","1000","SI","AGENTES DE MOVILIDAD","CONDUCIR CON UNA TASA DE ALCOHOL NO PERMITIDA SUPERIOR A 0.50 MG/L EN AIRE ESPIRADO (0.30 MG/L NOVELES/PROF.)","(4428.70,44801.24)","Madrid"
